,ticker,headline,date,eventRet,Close,sentiment_en,sentiment_en_score,sent_score
0,AMZN,"Whole Foods (WFMI) -5.2% following a downgrade to ""hold"" from ""buy"" at Jefferies. Gas prices are the culprit, writes Scott Mushkin, claiming at $4/gallon, even the affluent who patronize the upscale grocery begin to take notice. Whole Foods announces earnings after Wednesday's close.",2011-05-02,0.0176501241304078,10.059499740600586,0.9391117095947266,-1,-0.9391117095947266
1,NFLX,"Netflix (NFLX +1.1%) shares post early gains after Citigroup ups its rating to Buy and lifts its price target to $300 from $245. U.S. revenue growth is sustainable, Citi says, ""with a path to 50M subscribers by 2013,"" adding that NFLX has little competition in price, selection and  convenience; mass market adoption of tablets will help, and the mass-market adoption phase is still to come.",2011-05-02,-0.0129122284449906,33.88428497314453,0.9436550140380859,1,0.9436550140380859
2,MSFT,"The likely winners in Microsoft's (MSFT -1.4%) Skype buy: a hodgepodge of private-equity firms, pension funds and VCs (and eBay (EBAY +2.4%), whose $620M stake goes to $2.3B - making for a total eBay payday of more than $4B).",2011-05-10,-0.0198165597576426,20.120023727416992,0.9282939434051514,1,0.9282939434051514
3,MSFT,"Microsoft (MSFT -1.2%) and Skype signed their deal last night after finalizing the price in mid-April, the CEOs say in their webcast, and the product will be focused on mobile devices, video chat and social features as it gets integrated into Outlook mail and other products, including the Xbox console.",2011-05-10,-0.0198165597576426,20.120023727416992,0.9346168637275696,1,0.9346168637275696
5,AMZN,"Amazon.com (AMZN -1.7%) shares slip as comments circulate from CEO Jeff Bezos that the company will cease affiliate operations in states that force it to collect sales tax. Amazon has already announced plans to cancel its affiliate program in Illinois, and Bezos says ""we will continue to drop states who pass those affiliate laws.""",2011-05-12,-0.0066065689394636,10.303500175476074,0.9397892951965332,-1,-0.9397892951965332
6,GOOG,"It's been some time coming, but Google (GOOG -1.9%) makes its first trip into the bond market with a planned $3B sale that should be ""scooped up like nobody's business."" The company had $35B in cash and marketable securities at 2010's end, but will pay back short-term borrowings as investment-grade borrowing costs are about the lowest since November.",2011-05-16,-0.0080728611061003,12.912101745605469,0.9436330199241638,0,0.0
7,MSFT,"Accusing underwriters of digging out their late 1990s playbook, Jim Cramer describes the LinkedIn (LNKD) IPO as ""preposterous."" By offering just a sliver of the company, the promoters purposely created a frenzy for the shares. ""It's a toxic way to price, it's a terrible thing to do.""",2011-05-19,-0.0011558451644833,19.50241470336914,0.8951163291931152,-1,-0.8951163291931152
8,MSFT,"If you bought LinkedIn (LNKD, now legging higher again, +155% to $115) at $45, give yourself a high-five - though that probably means you're MS, BAC and other underwriters who took advantage of the company for serious underpricing of the IPO, Henry Blodget says. LNKD may have left well over $100M on the table.",2011-05-19,-0.0011558451644833,19.50241470336914,0.939797043800354,1,0.939797043800354
9,MSFT,"From Jens Heycke, the top 5 things you could buy with $4B (um, make that $7B) instead of LinkedIn (LNKD +90%).",2011-05-19,-0.0011558451644833,19.50241470336914,0.9439167380332947,0,0.0
10,MSFT,"""OK. This is almost hilarious. P/E Ratio for $LNKD right now: 1,221 - SERIOUSLY?! Yes you are reading that correctly,"" says Bloomberg's Cris Valerio of LinkedIn's (LNKD) debut. Stock did soar to over 100% but is now a mere +90%.",2011-05-19,-0.0011558451644833,19.50241470336914,0.9323650598526001,1,0.9323650598526001
11,MSFT,"LinkedIn (LNKD) is off to an astonishing start on its IPO debut, up 83%.",2011-05-19,-0.0011558451644833,19.50241470336914,0.9434621930122375,1,0.9434621930122375
13,AMZN,"Amazon (AMZN -1.2%) moves nicely off its low for the day following a note on engadget.com that says the company may launch 7"" and 10"" Android tablet devices this year.",2011-05-23,-0.0280212174506865,9.810999870300291,0.9404882788658142,1,0.9404882788658142
14,JPM,"The investigation by New York AG Eric Schneiderman into mortgage securitization is reportedly adding JPMorgan Chase (JPM -1.1%), UBS (UBS -2.2%) and Deutsche Bank (DB -2.7%), along with four bond insurers. The state probe - already poking at GS, BAC, MS - could blow up a $5B settlement deal.",2011-05-23,-0.0381553905571538,30.61825561523437,0.7547539472579956,0,0.0
